Timekeeper ID,Timekeeper Name,Timekeeper Role,Timekeeper Status,Timekeeper Office,Timekeeper Department,Timekeeper Practice Group,Standard Rate,Work Rate,Matter ID,Matter Name,Matter Type,Matter Status,Matter Office,Matter Department,Matter Practice Group,Billing Attorney,Supervising Attorney,Responsible Attorney,Originating Attorney,Budget,Target,Client ID,Client Name,Client Address,Client Status,Client Type,Invoice ID,Invoice Date,Billed Hours,Billed Amount,Collected Hours,Collected Amount,Write Off Amount,Discount Amount,Realization Rate,Utilization Rate,Worked Hours,Worked Amount,Effective Rate,Flat Fee Amount,Trust Balance,WIP Amount,AR Amount,Soft Costs,Hard Costs,Phase Code,Task Code,Activity Code,Time Entry Date,Time Entry Hours,Time Entry Description,Profitability Status,Risk Level,Underbilling Flag,Overutilization Flag,Discount Flag
TK8233,Crystal Fitzpatrick,Partner,Terminated,Sydney,Tax,Family Law,814,766,MT4625,Wilson v. Miller,Litigation,Closed,London,Tax,Family Law,Sarah Mccarthy,James Davis,Emma Pruitt,Mario Lopez,409722,312,CL5115,Christina Mitchell,"3404 Flores Row Apt. 296
Suzannefurt, WY 56222",Active,Individual,INV-77139,7/4/2024,148,113368,146,111836,1988,172,98.65,47.44,157,120262,766,32856,7688,3239,9852,4867,7778,Settlement,Negotiation,Client Meeting,1/19/2025,2,Client Meeting for Wilson v. Miller,Unprofitable,High,No,Yes,Yes
TK2465,Denise Trujillo,Paralegal,Active,Sydney,Corporate,Intellectual Property,703,693,MT3833,Chandler v. Fletcher,Patent Filing,Closed,London,Corporate,Criminal Defense,Candice Reyes,Amy Andrews MD,Theresa Harvey,Jose Hall,273329,127,CL9183,Shelley Mitchell,"873 Olson Land Apt. 968
Lake Jennifer, FL 09589",Inactive,Nonprofit,INV-12507,1/16/2025,121,83853,113,78309,1568,549,93.39,95.28,135,93555,693,0,39,14329,8775,2840,731,Document Review,Filing,Document Review,9/4/2024,10,Document Review for Chandler v. Fletcher,Profitable,Low,Yes,No,No
TK2128,Richard Hernandez,Law Clerk,Terminated,California,Tax,M&A,737,544,MT6315,Sparks v. Robertson,Criminal Case,Active,New York,Real Estate,Criminal Defense,Chad Merritt,Casey Flynn,Raymond Young,Tracy Ferrell DDS,208439,250,CL2572,"Johnston, Hayden and Ruiz","PSC 4080, Box 9305
APO AA 46865",Active,Government,INV-01066,8/3/2024,131,71264,122,66368,222,18,93.13,52.4,140,76160,544,9508,2223,10851,5044,4500,5612,Trial,Drafting,Client Meeting,10/18/2024,3,Client Meeting for Sparks v. Robertson,Profitable,High,No,No,No
TK6653,Linda Washington,Law Clerk,Active,New York,Employment,Intellectual Property,1488,1335,MT6770,Taylor v. Becker,Criminal Case,Active,New York,Real Estate,Commercial Litigation,Robert Phillips,Michael Blevins,Kenneth Williamson,Daniel Williams,53926,472,CL4663,"Doyle, Wood and Bailey","1061 Perez Trail
East Jason, MO 85063",Inactive,Individual,INV-86684,7/22/2024,39,52065,29,38715,1455,224,74.36,8.26,53,70755,1335,0,6990,14215,6599,81,3370,Document Review,Deposition,Draft Motion,11/26/2024,7,Draft Motion for Taylor v. Becker,Unprofitable,Medium,No,No,No
TK3235,Dana Parker MD,Law Clerk,Terminated,Sydney,Real Estate,M&A,352,284,MT5846,Salas v. Gonzalez,Patent Filing,Active,Toronto,Tax,Criminal Defense,Nichole Wright,Andrew Malone,Lauren Fletcher,Hannah Serrano,240731,283,CL7259,Ware LLC,"Unit 4983 Box 9379
DPO AA 93228",Active,Corporation,INV-43628,10/25/2024,40,11360,28,7952,1814,638,70,14.13,41,11644,284,15550,279,15240,1275,3289,505,Trial,Deposition,Draft Motion,8/7/2024,3,Draft Motion for Salas v. Gonzalez,Unprofitable,Low,Yes,Yes,No
TK2583,Adam Gutierrez,Paralegal,Active,London,Corporate,Commercial Litigation,1282,1279,MT7788,Whitehead v. Mejia,Patent Filing,Closed,London,Real Estate,Commercial Litigation,Joseph Blair,Kathleen Aguilar,Colleen Schwartz,Christine Rice,372796,190,CL8157,"Lopez, Payne and Rivera","78780 John Junctions
Lake Jamesfurt, RI 43627",Inactive,Corporation,INV-03452,5/1/2024,119,152201,107,136853,1357,930,89.92,62.63,126,161154,1279,0,8868,4752,3921,4689,7294,Document Review,Filing,Document Review,4/14/2024,1,Document Review for Whitehead v. Mejia,Unprofitable,Low,No,Yes,Yes
TK8103,Mary Hall,Partner,Active,Sydney,Employment,Commercial Litigation,803,636,MT3437,Smith v. Garcia,M&A,Active,Sydney,Employment,Criminal Defense,Taylor Bond,Heather Bolton,Sabrina Grant,Mrs. Jordan Fisher MD,150725,448,CL6251,Carlos Shannon,"Unit 7722 Box 0357
DPO AA 69118",Active,Government,INV-50539,6/28/2024,40,25440,28,17808,1659,644,70,8.93,41,26076,636,21399,3287,5120,8642,2869,9223,Trial,Deposition,Draft Motion,4/8/2024,7,Draft Motion for Smith v. Garcia,Unprofitable,High,No,No,Yes
TK4211,Kimberly Gardner,Partner,Terminated,Toronto,Corporate,M&A,384,214,MT6798,Evans v. Clayton,M&A,Active,New York,Litigation,Intellectual Property,Joseph Brown,Jillian Golden,Robin Black,Mary Conner,288071,190,CL9255,Owen Ltd,"43958 Christine Spurs Suite 117
Lake Elizabeth, OR 56903",Inactive,Corporation,INV-69146,4/16/2024,167,35738,156,33384,315,99,93.41,87.89,187,40018,214,23006,2224,12544,8988,3160,6405,Settlement,Filing,Document Review,10/13/2024,3,Document Review for Evans v. Clayton,Profitable,Low,Yes,Yes,Yes
TK3793,Stanley Fernandez,Partner,Active,New York,Real Estate,Intellectual Property,1328,1260,MT4214,Brooks v. Beck,Patent Filing,Active,Sydney,Tax,Family Law,Kristi Knight,Charles Martinez,Amanda Ramirez,Joy Velez,71925,340,CL4194,"Porter, Austin and Eaton","4228 Molly Row
North Manuel, KY 23270",Active,Nonprofit,INV-37982,8/6/2024,87,109620,83,104580,236,56,95.4,25.59,95,119700,1260,38996,9173,8967,9014,1290,4356,Appeal,Deposition,Research Case Law,4/10/2024,5,Research Case Law for Brooks v. Beck,Unprofitable,Medium,Yes,Yes,No
TK3081,Kristina Black,Law Clerk,Active,Toronto,Corporate,Commercial Litigation,1274,1256,MT1586,Anthony v. Hall,Patent Filing,Closed,Sydney,Employment,Criminal Defense,Samantha Stephenson,David Turner,Elizabeth Salas,James Burke,145646,196,CL7822,"Johnson, Stewart and Martin","225 Jennifer Lodge
South Shawnview, NY 86293",Active,Individual,INV-08859,2/23/2024,117,146952,108,135648,175,659,92.31,59.69,127,159512,1256,10647,199,11831,279,2865,1879,Document Review,Negotiation,Court Appearance,9/25/2024,5,Court Appearance for Anthony v. Hall,Profitable,Medium,Yes,Yes,Yes
TK2171,Matthew Davis,Partner,Active,Sydney,Real Estate,Family Law,306,199,MT1883,Barber v. Mendoza,Patent Filing,Active,Sydney,Litigation,M&A,Regina Fuller,Sydney Schmidt,Joshua Hill,Richard Flores,149974,111,CL2719,Joseph Davis,"434 Barbara Ferry
South Matthew, MO 07871",Active,Government,INV-06115,7/12/2024,123,24477,104,20696,1639,462,84.55,110.81,135,26865,199,0,440,19151,7950,3276,9444,Trial,Filing,Research Case Law,5/30/2024,4,Research Case Law for Barber v. Mendoza,Profitable,High,Yes,Yes,No
TK9704,Tonya Hampton,Paralegal,Active,London,Employment,M&A,212,68,MT8101,Martinez v. Harris,M&A,Active,Sydney,Tax,Criminal Defense,Matthew Hunt,Mr. Cameron Tate Jr.,Alexander Lyons,Todd Walsh,355936,273,CL6835,Vargas-Baxter,"USNV Jones
FPO AP 78842",Active,Government,INV-15174,12/16/2024,127,8636,110,7480,451,352,86.61,46.52,134,9112,68,36444,986,8858,2651,4378,189,Trial,Filing,Draft Motion,7/26/2024,6,Draft Motion for Martinez v. Harris,Unprofitable,High,No,Yes,Yes
TK3315,Joshua Meyer,Paralegal,Terminated,California,Real Estate,Intellectual Property,451,336,MT1922,Chen v. Mccormick,M&A,Closed,New York,Corporate,M&A,Kathleen Kim,Brian Ferguson,Natasha Brown,Carol Collins,168548,430,CL0294,Tamara Martin,"2574 Montes Camp Apt. 933
Lewisfort, ME 27240",Active,Nonprofit,INV-10033,11/6/2024,153,51408,144,48384,1056,618,94.12,35.58,153,51408,336,0,1590,20,6421,2618,6734,Settlement,Negotiation,Draft Motion,5/12/2024,3,Draft Motion for Chen v. Mccormick,Profitable,Low,Yes,Yes,Yes
