Timekeeper ID,Timekeeper Name,Timekeeper Role,Standard Rate,Work Rate,Matter ID,Matter Name,Matter Type,Client ID,Client Name,Invoice Date,Billed Hours,Billed Amount,Collected Hours,Collected Amount,Write Off Amount,Discount Amount,Realization Rate,Utilization Rate,Worked Hours,Worked Amount,Effective Rate,Time Entry Date,Time Entry Hours,Time Entry Description,Underbilling Flag,Discount Flag
TK8233,Crystal Fitzpatrick,Partner,814,766,MT4625,Wilson v. Miller,Litigation,CL5115,Christina Mitchell,7/4/2024,148,113368,146,111836,1988,172,98.65,47.44,157,120262,766,1/19/2025,2,Client Meeting for Wilson v. Miller,No,Yes
TK2465,Denise Trujillo,Paralegal,703,693,MT3833,Chandler v. Fletcher,Patent Filing,CL9183,Shelley Mitchell,1/16/2025,121,83853,113,78309,1568,549,93.39,95.28,135,93555,693,9/4/2024,10,Document Review for Chandler v. Fletcher,Yes,No
TK2128,Richard Hernandez,Law Clerk,737,544,MT6315,Sparks v. Robertson,Criminal Case,CL2572,"Johnston, Hayden and Ruiz",8/3/2024,131,71264,122,66368,222,18,93.13,52.4,140,76160,544,10/18/2024,3,Client Meeting for Sparks v. Robertson,No,No
TK6653,Linda Washington,Law Clerk,1488,1335,MT6770,Taylor v. Becker,Criminal Case,CL4663,"Doyle, Wood and Bailey",7/22/2024,39,52065,29,38715,1455,224,74.36,8.26,53,70755,1335,11/26/2024,7,Draft Motion for Taylor v. Becker,No,No
TK3235,Dana Parker MD,Law Clerk,352,284,MT5846,Salas v. Gonzalez,Patent Filing,CL7259,Ware LLC,10/25/2024,40,11360,28,7952,1814,638,70,14.13,41,11644,284,8/7/2024,3,Draft Motion for Salas v. Gonzalez,Yes,No
TK2583,Adam Gutierrez,Paralegal,1282,1279,MT7788,Whitehead v. Mejia,Patent Filing,CL8157,"Lopez, Payne and Rivera",5/1/2024,119,152201,107,136853,1357,930,89.92,62.63,126,161154,1279,4/14/2024,1,Document Review for Whitehead v. Mejia,No,Yes
TK8103,Mary Hall,Partner,803,636,MT3437,Smith v. Garcia,M&A,CL6251,Carlos Shannon,6/28/2024,40,25440,28,17808,1659,644,70,8.93,41,26076,636,4/8/2024,7,Draft Motion for Smith v. Garcia,No,Yes
TK4211,Kimberly Gardner,Partner,384,214,MT6798,Evans v. Clayton,M&A,CL9255,Owen Ltd,4/16/2024,167,35738,156,33384,315,99,93.41,87.89,187,40018,214,10/13/2024,3,Document Review for Evans v. Clayton,Yes,Yes
TK3793,Stanley Fernandez,Partner,1328,1260,MT4214,Brooks v. Beck,Patent Filing,CL4194,"Porter, Austin and Eaton",8/6/2024,87,109620,83,104580,236,56,95.4,25.59,95,119700,1260,4/10/2024,5,Research Case Law for Brooks v. Beck,Yes,No
TK3081,Kristina Black,Law Clerk,1274,1256,MT1586,Anthony v. Hall,Patent Filing,CL7822,"Johnson, Stewart and Martin",2/23/2024,117,146952,108,135648,175,659,92.31,59.69,127,159512,1256,9/25/2024,5,Court Appearance for Anthony v. Hall,Yes,Yes
